adrenal gland;;;;;;;;;;
adrenal gland;chromaffin cell of adrenal gland (CL:1000426);;;;;;;;;
eye;conjunctival epithelial cell (CL:1000432);;;;;;;;;
eye;conjunctival epithelial cell (CL:1000432);conjunctiva goblet cell (CL:2000084);;;;;;;;
eye;epithelial cell of lacrimal canaliculus (CL:1000433);;;;;;;;;
eye;epithelial cell of lacrimal duct (CL:1000435);;;;;;;;;
eye;epithelial cell of lacrimal duct (CL:1000435);epithelial cell of nasolacrimal duct (CL:1000437);;;;;;;;
eye;epithelial cell of lacrimal sac (CL:1000436);;;;;;;;;
eye;ciliary muscle cell (CL:1000443);;;;;;;;;
eye;mesothelial cell of anterior chamber of eye (CL:1000444);;;;;;;;;
eye;myoepithelial cell of dilator pupillae (CL:1000445);;;;;;;;;
eye;optic choroid fibroblast (CL:2000070);;;;;;;;;
gall blader;;;;;;;;;;
gall blader;epithelial cell of gall bladder (CL:1000415);;;;;;;;;
gall blader;epithelial cell of gall bladder (CL:1000415);gall bladder glandular cell (CL:1001592);;;;;;;;
gall blader;gallbladder fibroblast (CL:2000069);;;;;;;;;
ganglion;;;;;;;;;;
ganglion;ganglion interneuron (CL:0000397);;;;;;;;;
gonad;;;;;;;;;;
gonad;Leydig cell (CL:0000178);;;;;;;;;
gonad;stromal cell of ovary (CL:0002132);;;;;;;;;
gonad;stromal cell of ovary (CL:0002132);luteal cell (CL:0000175);;;;;;;;
gonad;stromal cell of ovary (CL:0002132);luteal cell (CL:0000175);small luteal cell (CL:0000590);;;;;;;
gonad;stromal cell of ovary (CL:0002132);luteal cell (CL:0000175);large luteal cell (CL:0000592);;;;;;;
gonad;stromal cell of ovary (CL:0002132);interstitial cell of ovary (CL:0002094);;;;;;;;
gonad;stromal cell of ovary (CL:0002132);hilus cell of ovary (CL:0002095);;;;;;;;
gonad;stromal cell of ovary (CL:0002132);stromal cell of ovarian cortex (CL:0002133);;;;;;;;
gonad;stromal cell of ovary (CL:0002132);stromal cell of ovarian medulla (CL:0002134);;;;;;;;
gonad;male gonocyte (CL:0002238);;;;;;;;;
gonad;ooblast (CL:0002239);;;;;;;;;
gonad;seminiferous tubule epithelial cell (CL:0002625);;;;;;;;;
gonad;seminiferous tubule epithelial cell (CL:0002625);Sertoli cell (CL:0000216);;;;;;;;
gonad;seminiferous tubule epithelial cell (CL:0002625);peritubular myoid cell (CL:0002481);;;;;;;;
gonad;seminal vesicle glandular cell (CL:1001597);;;;;;;;;
gonad;ovarian fibroblast (CL:2000063);;;;;;;;;
gonad;ovarian surface epithelial cell (CL:2000064);;;;;;;;;
gonad;ovarian surface epithelial cell (CL:2000064);chromaffin cell of ovary (CL:1000465);;;;;;;;
gonad;ovarian surface epithelial cell (CL:2000064);chromaffin cell of ovary (CL:1000465);chromaffin cell of right ovary (CL:1000466);;;;;;;
gonad;ovarian surface epithelial cell (CL:2000064);chromaffin cell of ovary (CL:1000465);chromaffin cell of left ovary (CL:1000467);;;;;;;
heart;;;;;;;;;;
heart;cardiac muscle myoblast (CL:0000513);;;;;;;;;
heart;internodal tract myocyte (CL:0002096);;;;;;;;;
heart;internodal tract myocyte (CL:0002096);myocyte of anterior internodal tract (CL:1000287);;;;;;;;
heart;internodal tract myocyte (CL:0002096);myocyte of atrial branch of anterior internodal tract (CL:1000288);;;;;;;;
heart;internodal tract myocyte (CL:0002096);myocyte of atrial septal branch of anterior internodal tract (CL:1000289);;;;;;;;
heart;internodal tract myocyte (CL:0002096);myocyte of middle internodal tract (CL:1000290);;;;;;;;
heart;internodal tract myocyte (CL:0002096);myocyte of posterior internodal tract (CL:1000291);;;;;;;;
heart;internodal tract myocyte (CL:0002096);transitional myocyte of internodal tract (CL:1000480);;;;;;;;
heart;internodal tract myocyte (CL:0002096);transitional myocyte of internodal tract (CL:1000480);transitional myocyte of atrial branch of anterior internodal tract (CL:1000363);;;;;;;
heart;internodal tract myocyte (CL:0002096);transitional myocyte of internodal tract (CL:1000480);transitional myocyte of anterior internodal tract (CL:1000364);;;;;;;
heart;internodal tract myocyte (CL:0002096);transitional myocyte of internodal tract (CL:1000480);transitional myocyte of atrial septal branch of anterior internodal tract (CL:1000365);;;;;;;
heart;internodal tract myocyte (CL:0002096);transitional myocyte of internodal tract (CL:1000480);transitional myocyte of middle internodal tract (CL:1000366);;;;;;;
heart;internodal tract myocyte (CL:0002096);transitional myocyte of internodal tract (CL:1000480);transitional myocyte of posterior internodal tract (CL:1000367);;;;;;;
heart;internodal tract myocyte (CL:0002096);Purkinje myocyte of internodal tract (CL:1000483);;;;;;;;
heart;fibroblast of cardiac tissue (CL:0002548);;;;;;;;;
heart;fibroblast of cardiac tissue (CL:0002548);cardiac ventricle fibroblast (CL:2000066);;;;;;;;
heart;fibroblast of cardiac tissue (CL:0002548);cardiac atrium fibroblast (CL:2000067);;;;;;;;
heart;myocardial endocrine cell of atrium (CL:0002663);;;;;;;;;
heart;endocardial cushion cell (CL:0008022);;;;;;;;;
heart;His-Purkinje system cell (CL:0010007);;;;;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);;;;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);myocardial endocrine cell of septal division of left branch of atrioventricular bundle (CL:1000375);;;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);transitional myocyte of atrioventricular bundle (CL:1000481);;;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of left branch of atrioventricular bundle (CL:1000370);;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of left branch of atrioventricular bundle (CL:1000370);transitional myocyte of anterior division of left branch of atrioventricular bundle (CL:1000368);;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of left branch of atrioventricular bundle (CL:1000370);transitional myocyte of septal division of left branch of atrioventricular bundle (CL:1000369);;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of left branch of atrioventricular bundle (CL:1000370);transitional myocyte of posterior division of left branch of atrioventricular bundle (CL:1000374);;;;;
