UBERON_0014885;distal epiphysis of distal phalanx of manual digit 5
UBERON_0013122;distal epiphysis of phalanx of pes
UBERON_0014876;distal epiphysis of distal phalanx of pedal digit
UBERON_0014871;distal epiphysis of distal phalanx of pedal digit 1
UBERON_0014872;distal epiphysis of distal phalanx of pedal digit 2
UBERON_0014873;distal epiphysis of distal phalanx of pedal digit 3
UBERON_0014874;distal epiphysis of distal phalanx of pedal digit 4
UBERON_0014875;distal epiphysis of distal phalanx of pedal digit 5
UBERON_0014887;distal epiphysis of distal phalanx of digit
UBERON_0013753;distal epiphysis of metacarpal bone
UBERON_0004401;bone tissue of distal epiphysis
UBERON_0004380;proximal epiphysis
UBERON_0004411;proximal epiphysis of humerus
UBERON_0006801;proximal head of humerus
UBERON_0011187;ventral tubercle of humerus
UBERON_0011188;lesser tubercle of humerus
UBERON_0004413;proximal epiphysis of radius
UBERON_0008775;proximal epiphysis of fibula
UBERON_0004412;proximal epiphysis of femur
UBERON_0006767;head of femur
UBERON_0012078;fovea capitis of femur
UBERON_0013633;intertrochanteric crest
UBERON_0013634;intertrochanteric line
UBERON_0004415;proximal epiphysis of metatarsal bone
UBERON_0004427;proximal epiphysis of first metatarsal bone
UBERON_0004428;proximal epiphysis of second metatarsal bone
UBERON_0004429;proximal epiphysis of third metatarsal bone
UBERON_0004430;proximal epiphysis of fourth metatarsal bone
UBERON_0004431;proximal epiphysis of fifth metatarsal bone
UBERON_0004416;proximal epiphysis of metacarpal bone
UBERON_0004422;proximal epiphysis of first metacarpal bone
UBERON_0004423;proximal epiphysis of second metacarpal bone
UBERON_0004424;proximal epiphysis of third metacarpal bone
UBERON_0004425;proximal epiphysis of fourth metacarpal bone
UBERON_0004426;proximal epiphysis of fifth metacarpal bone
UBERON_0004447;proximal epiphysis of phalanx
UBERON_0004414;proximal epiphysis of phalanx of manus
UBERON_0004417;proximal epiphysis of phalanx of manual digit 1
UBERON_0004445;proximal epiphysis of proximal phalanx of manual digit 1
UBERON_0004444;proximal epiphysis of distal phalanx of manual digit 1
UBERON_0004418;proximal epiphysis of phalanx of manual digit 2
UBERON_0004432;proximal epiphysis of distal phalanx of manual digit 2
UBERON_0004436;proximal epiphysis of middle phalanx of manual digit 2
UBERON_0004440;proximal epiphysis of proximal phalanx of manual digit 2
UBERON_0004419;proximal epiphysis of phalanx of manual digit 3
UBERON_0004433;proximal epiphysis of distal phalanx of manual digit 3
UBERON_0004437;proximal epiphysis of middle phalanx of manual digit 3
UBERON_0004441;proximal epiphysis of proximal phalanx of manual digit 3
UBERON_0004420;proximal epiphysis of phalanx of manual digit 4
UBERON_0004434;proximal epiphysis of distal phalanx of manual digit 4
UBERON_0004438;proximal epiphysis of middle phalanx of manual digit 4
UBERON_0004442;proximal epiphysis of proximal phalanx of manual digit 4
UBERON_0004421;proximal epiphysis of phalanx of manual digit 5
UBERON_0004435;proximal epiphysis of distal phalanx of manual digit 5
UBERON_0004439;proximal epiphysis of middle phalanx of manual digit 5
UBERON_0004443;proximal epiphysis of proximal phalanx of manual digit 5
UBERON_0013121;proximal epiphysis of phalanx of pes
UBERON_0006822;proximal epiphysis of ulna
UBERON_0006810;olecranon
UBERON_0008449;trochlear notch
UBERON_0010994;coronoid process of ulna
UBERON_0008772;proximal epiphysis of tibia
UBERON_0004402;bone tissue of proximal epiphysis
UBERON_0004382;epiphysis of humerus
UBERON_0004383;epiphysis of tibia
UBERON_0004384;epiphysis of femur
UBERON_0004385;epiphysis of radius
UBERON_0004386;epiphysis of ulna
UBERON_0004388;epiphysis of fibula
UBERON_0004390;epiphysis of metacarpal bone
UBERON_0004391;epiphysis of first metacarpal bone
UBERON_0004392;epiphysis of second metacarpal bone
UBERON_0004393;epiphysis of third metacarpal bone
UBERON_0004394;epiphysis of fourth metacarpal bone
UBERON_0011104;epiphysis of fifth metacarpal bone
UBERON_0004446;epiphysis of phalanx
UBERON_0004387;epiphysis of phalanx of manus
UBERON_0011977;epiphysis of proximal phalanx of manus
UBERON_0011978;epiphysis of middle phalanx of manus
UBERON_0011979;epiphysis of distal phalanx of manus
UBERON_0011974;epiphysis of proximal phalanx of pes
UBERON_0011975;epiphysis of middle phalanx of pes
UBERON_0011976;epiphysis of distal phalanx of pes
UBERON_0011973;epiphysis of phalanx of pes
UBERON_0004389;epiphysis of metatarsal bone
UBERON_0004395;epiphysis of first metatarsal bone
UBERON_0004396;epiphysis of second metatarsal bone
UBERON_0004397;epiphysis of third metatarsal bone
